title,userId,rating
'71 (2014),1,4.0
'Hellboy': The Seeds of Creation (2004),1,4.0
'Round Midnight (1986),2,3.5
'Salem's Lot (2004),1,5.0
'Til There Was You (1997),2,4.0
'Tis the Season for Love (2015),1,1.5
"'burbs, The (1989)",17,3.176470588235294
'night Mother (1986),1,3.0
(500) Days of Summer (2009),42,3.6666666666666665
*batteries not included (1987),7,3.2857142857142856
...All the Marbles (1981),1,2.0
...And Justice for All (1979),3,3.1666666666666665
00 Schneider - Jagd auf Nihil Baxter (1994),1,4.5
1-900 (06) (1994),1,4.0
10 (1979),4,3.375
10 Cent Pistol (2015),2,1.25
10 Cloverfield Lane (2016),14,3.6785714285714284
10 Items or Less (2006),3,2.6666666666666665
10 Things I Hate About You (1999),54,3.5277777777777777
10 Years (2011),1,3.5
"10,000 BC (2008)",17,2.7058823529411766
100 Girls (2000),4,3.25
100 Streets (2016),1,2.5
101 Dalmatians (1996),47,3.074468085106383
101 Dalmatians (One Hundred and One Dalmatians) (1961),44,3.4318181818181817
101 Dalmatians II: Patch's London Adventure (2003),1,2.5
101 Reykjavik (101 Reykjavík) (2000),1,3.5
102 Dalmatians (2000),9,2.7777777777777777
10th & Wolf (2006),1,4.5
"10th Kingdom, The (2000)",2,2.75
"10th Victim, The (La decima vittima) (1965)",1,4.0
"11'09""01 - September 11 (2002)",2,4.0
11:14 (2003),4,3.75
"11th Hour, The (2007)",1,4.0
12 Angry Men (1957),57,4.149122807017544
12 Angry Men (1997),1,5.0
12 Chairs (1971),1,4.5
12 Chairs (1976),1,5.0
12 Rounds (2009),3,3.0
12 Years a Slave (2013),16,3.625
127 Hours (2010),18,3.8333333333333335
13 Assassins (Jûsan-nin no shikaku) (2010),4,4.0
13 Ghosts (1960),4,3.125
13 Going on 30 (2004),21,3.1904761904761907
13 Hours (2016),5,3.3
13 Sins (2014),1,3.5
13 Tzameti (2005),1,4.5
13th (2016),2,4.5
"13th Warrior, The (1999)",26,2.9038461538461537
1408 (2007),25,3.16
1492: Conquest of Paradise (1992),1,2.5
15 Minutes (2001),10,3.0
16 Blocks (2006),9,3.0
17 Again (2009),10,3.55
1776 (1972),2,3.5
18 Again! (1988),2,1.5
187 (One Eight Seven) (1997),3,2.6666666666666665
1900 (Novecento) (1976),1,4.5
1941 (1979),3,2.6666666666666665
1969 (1988),1,2.0
1984 (Nineteen Eighty-Four) (1984),14,3.7142857142857144
2 Days in New York (2012),1,2.5
2 Days in Paris (2007),1,3.5
2 Days in the Valley (1996),12,3.0416666666666665
"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",19,2.6052631578947367
2 Guns (2013),3,4.0
20 Dates (1998),7,3.0
20 Feet from Stardom (Twenty Feet from Stardom) (2013),2,4.25
20 Million Miles to Earth (1957),1,5.0
"20,000 Days on Earth (2014)",1,4.0
"20,000 Leagues Under the Sea (1916)",2,3.75
"20,000 Leagues Under the Sea (1954)",17,3.4705882352941178
200 Cigarettes (1999),6,3.1666666666666665
2001 Maniacs (2005),2,3.25
2001: A Space Odyssey (1968),109,3.8944954128440368
2010: The Year We Make Contact (1984),17,3.588235294117647
2012 (2009),21,2.619047619047619
2046 (2004),7,4.071428571428571
2048: Nowhere to Run (2017),1,3.5
21 (2008),18,3.75
21 Grams (2003),25,3.3
21 Jump Street (2012),26,3.8653846153846154
21 Up (1977),3,4.0
21 and Over (2013),4,3.625
22 Jump Street (2014),19,3.6842105263157894
24 Hour Party People (2002),7,3.5714285714285716
25th Hour (2002),22,3.840909090909091
27 Dresses (2008),20,3.3
28 Days (2000),25,3.3
28 Days Later (2002),58,3.9741379310344827
28 Up (1985),3,4.0
28 Weeks Later (2007),21,3.5952380952380953
3 Days to Kill (2014),2,1.0
3 Extremes (Three... Extremes) (Saam gaang yi) (2004),3,3.3333333333333335
3 Idiots (2009),2,4.75
3 Ninjas (1992),6,2.0833333333333335
3 Ninjas Kick Back (1994),2,1.25
3 Ninjas Knuckle Up (1995),1,0.5
3 Ninjas: High Noon On Mega Mountain (1998),1,4.0
3 Women (Three Women) (1977),3,4.166666666666667
3 dev adam (Three Giant Men) (1973) ,1,0.5
3-Iron (Bin-jip) (2004),3,4.5
30 Days of Night (2007),11,3.1818181818181817
30 Minutes or Less (2011),6,2.6666666666666665
300 (2007),80,3.68125
3000 Miles to Graceland (2001),7,2.7142857142857144
300: Rise of an Empire (2014),4,2.125
31 (2016),1,3.5
35 Up (1991),3,4.0
"39 Steps, The (1935)",11,4.045454545454546
3:10 to Yuma (1957),1,4.0
3:10 to Yuma (2007),25,4.06
4 Little Girls (1997),2,4.25
"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)",3,4.0
40 Days and 40 Nights (2002),18,3.0
"40-Year-Old Virgin, The (2005)",74,3.5472972972972974
"400 Blows, The (Les quatre cents coups) (1959)",12,4.0
42 (2013),1,4.0
42 Up (1998),2,4.0
42nd Street (1933),3,4.0
47 Ronin (2013),7,2.642857142857143
48 Hrs. (1982),11,3.590909090909091
49 Up (2005),2,4.0
5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007),3,3.5
5 to 7 (2014),1,2.5
"5,000 Fingers of Dr. T, The (1953)",2,4.0
50 First Dates (2004),47,3.5531914893617023
50/50 (2011),19,3.6315789473684212
52 Pick-Up (1986),3,3.6666666666666665
54 (1998),5,2.0
6 Days to Air: The Making of South Park (2011),1,4.0
61* (2001),1,5.0
"6th Day, The (2000)",20,2.8
"6th Man, The (Sixth Man, The) (1997)",2,1.5
7 Days in Hell (2015),2,4.0
7 Faces of Dr. Lao (1964),1,5.0
"7th Voyage of Sinbad, The (1958)",5,4.4
8 1/2 (8½) (1963),14,4.071428571428571
8 Heads in a Duffel Bag (1997),4,3.0
8 Mile (2002),41,3.292682926829268
8 Seconds (1994),2,3.0
8 Women (2002),3,3.8333333333333335
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999),3,3.3333333333333335
800 Bullets (800 Balas) (2002),1,2.5
84 Charing Cross Road (1987),3,4.5
8MM (1999),18,2.9444444444444446
9 (2009),14,3.642857142857143
9 1/2 Weeks (Nine 1/2 Weeks) (1986),10,2.7
9/11 (2002),1,5.0
96 Minutes (2011) ,1,2.5
964 Pinocchio (1991),1,1.0
99 francs (2007),1,4.0
9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn) (2008),1,3.5
A Bad Moms Christmas (2017),1,3.5
A Christmas Story Live! (2017),1,2.0
A Cosmic Christmas (1977),1,4.0
A Detective Story (2003),1,5.0
A Dog's Purpose (2017),1,4.5
A Flintstones Christmas Carol (1994),1,5.0
A German Life (2016),1,3.0
A Home at the End of the World (2004),1,3.5
A Man Called Blade (1977),1,3.0
A Man from Boulevard des Capucines (1987),1,4.0
A Merry Friggin' Christmas (2014),1,2.0
A Midsummer Night's Dream (2016),1,4.0
A Million Ways to Die in the West (2014),12,2.9583333333333335
A Most Wanted Man (2014),1,4.5
A Perfect Day (2015),1,5.0
A Pigeon Sat on a Branch Reflecting on Existence (2014),2,4.0
A Plasticine Crow (1981),1,5.0
A Quiet Place (2018),4,2.75
A Silent Voice (2016),2,4.0
A Story of Children and Film (2013),1,3.5
A Street Cat Named Bob (2016),1,3.5
A Very Murray Christmas (2015),1,2.5
A Walk in the Woods (2015),1,3.5
A Wrinkle in Time (2018),1,3.0
"A-Team, The (2010)",17,3.1470588235294117
A.I. Artificial Intelligence (2001),56,3.3392857142857144
"ABCs of Death, The (2012)",1,3.5
ARQ (2016),1,4.5
AVP: Alien vs. Predator (2004),17,2.823529411764706
AVPR: Aliens vs. Predator - Requiem (2007),6,2.5833333333333335
"Abandoned, The (2006)",1,2.0
Abbott and Costello Meet Frankenstein (1948),4,3.75
Abduction (2011),1,3.5
